ID_SAEB;ID_SERIE;TP_DISCIPLINA;NU_BLOCO;NU_POSICAO;ID_ITEM;NU_DESCRITOR_HABILIDADE;TX_GABARITO;TP_ITEM;TP_ITEM_MODELO;A;B;C;B1;B2;B3
2023;2;MT;4;2;142200;2M2.2;A;Resposta Objetiva;M3PL;1.841526539;0.589878506;0.119012541;;;
2023;2;MT;4;3;117160;2M1.6;D;Resposta Objetiva;M3PL;1.62406764;-0.778141601;0.168830962;;;
2023;2;MT;4;4;142096;2G1.3;B;Resposta Objetiva;M3PL;1.356906531;-1.614734452;0.1743531;;;
2023;2;MT;4;5;142098;2G1.2;D;Resposta Objetiva;M3PL;1.399233836;-1.675685579;0.15531513;;;
2023;2;MT;4;6;115919;2N1.2;C;Resposta Objetiva;M3PL;1.258379872;-1.61014972;0.060902797;;;
2023;2;MT;4;7;143900;2M1.2;C;Resposta Objetiva;M3PL;1.107221753;1.651542117;0.138549192;;;
2023;2;MT;4;8;133248;2E1.1;C;Resposta Objetiva;M3PL;0.631406882;-1.288049019;0.179410859;;;
2023;2;MT;4;9;114076;2A1.3;A;Resposta Objetiva;M3PL;2.571411137;0.7928374;0.34017581;;;
2023;2;MT;5;1;134940;2N2.2;A/B;Resposta Construída;MRG;1.494255975;;;0.106179582;0.476117595;
2023;2;MT;5;1;142097;2G1.3;C;Resposta Objetiva;M3PL;1.229948044;-0.730059574;0.160382539;;;
2023;2;MT;5;2;142064;2E1.2;B;Resposta Objetiva;M3PL;1.547861648;-1.577523491;0.164881603;;;
2023;2;MT;5;3;117166;2M1.1;B;Resposta Objetiva;M3PL;1.03289531;-1.651217588;0.193595889;;;
2023;2;MT;5;4;142083;2N1.7;B;Resposta Objetiva;M3PL;1.498827382;-0.375826389;0.249759519;;;
2023;2;MT;5;5;133157;2M2.3;D;Resposta Objetiva;M3PL;1.768298845;-0.658758107;0.153792711;;;
2023;2;MT;5;6;117163;2N2.1;C;Resposta Objetiva;M3PL;1.355398441;-0.983127016;0.174549721;;;
2023;2;MT;5;7;142054;2M1.3;A;Resposta Objetiva;M3PL;0.72520861;-1.003070398;0.233504231;;;
2023;2;MT;5;8;133022;2A1.3;B;Resposta Objetiva;M3PL;1.495901342;1.049413358;0.261576785;;;
2023;2;MT;5;9;116168;2E1.1;A;Resposta Objetiva;M3PL;1.130848125;-0.179212484;0.308307099;;;
2023;2;MT;6;1;142067;2E1.3;A;Resposta Objetiva;M3PL;1.399579019;-1.415819769;0.192280467;;;
2023;2;MT;6;1;143181;2N2.1;A/B;Resposta Construída;MRG;1.641927035;;;-0.78734388;-0.351171615;
2023;2;MT;6;2;142025;2N1.5;B;Resposta Objetiva;M3PL;1.416497017;0.020578434;0.220434778;;;
2023;2;MT;6;3;117110;2M2.1;B;Resposta Objetiva;M3PL;2.123334199;0.370330419;0.301584976;;;
2023;2;MT;6;4;142020;2M1.7;D;Resposta Objetiva;M3PL;1.810220508;-0.855704596;0.16480425;;;
2023;2;MT;6;5;133633;2M1.5;A;Resposta Objetiva;M3PL;0.882334153;-0.923928605;0.181339107;;;
2023;2;MT;6;6;117126;2E1.2;C;Resposta Objetiva;M3PL;1.286901583;-1.780576474;0.095809736;;;
2023;2;MT;6;7;142000;2N1.3;C;Resposta Objetiva;M3PL;1.849259987;-0.317066125;0.291055549;;;
2023;2;MT;6;8;133860;2A1.1;B;Resposta Objetiva;M3PL;2.081911461;0.841534967;0.338522134;;;
2023;2;MT;6;9;114773;2G1.1;A;Resposta Objetiva;M3PL;1.156291318;0.427935358;0.329782616;;;
2023;2;MT;7;1;142088;2N1.7;D;Resposta Objetiva;M3PL;1.262744249;0.424699347;0.200560814;;;
